target_word,freq,LenChar,VowConRatio,label
می‌سوزه,103,7.0,0.75,0
شب,344276,2.0,0.5,0
برافروخت,210,8.0,0.67,0
توطید,107,5.0,0.67,0
عینک‌فروشی,101,10.0,0.71,0
خرابات,333,6.0,0.75,0
محمدناصر,353,8.0,0.67,0
هجوما,1350,5.0,0.6,0
موسیقی‌شناسی,161,12.0,1.0,0
اینما,106,5.0,1.0,0
اسمارت,19326,6.0,0.6,0
تصویرکشیدن,154,10.0,0.86,0
خداوردی,523,7.0,0.8,0
باگ,2049,3.0,0.5,0
رمه,337,3.0,1.0,0
درازمدت,12504,7.0,0.5,0
دری‌نجف‌آبادی,190,13.0,0.67,0
ولبنان,970,6.0,0.6,0
گابی,367,4.0,1.0,0
ناسوت,252,5.0,0.67,0
عاقلی,1628,5.0,1.0,0
هسته‌دار,1138,8.0,0.5,0
قابل‌قبول,29888,9.0,0.62,0
طیاب,115,4.0,1.0,0
کثیرین,121,6.0,0.75,0
التهانی,177,7.0,0.8,0
مقام,433108,4.0,0.67,0
متظاهر,500,6.0,0.8,0
ایاس,111,4.0,1.0,0
متبلور,1819,6.0,1.0,0
فرستادهشد,4854,9.0,0.57,0
باریک‌تری,144,9.0,0.67,0
مخ,2539,2.0,0.5,0
الدعو,1019,5.0,1.0,0
ورساچه,330,6.0,0.8,0
بی‌کلاه,526,7.0,0.75,0
فریادرس,608,7.0,1.0,0
مجسمه‌سازی,3093,10.0,0.56,0
مالش,1347,4.0,0.67,0
ماهله,128,5.0,1.0,0
برونگرا,1699,7.0,0.8,0
باکفایت,200,7.0,0.8,0
ویگ,348,3.0,0.5,0
قس,316,2.0,0.5,0
مراسماتی,180,8.0,0.8,0
بازدارند,494,8.0,0.8,0
ایرانیزه,282,8.0,1.0,0
آسیموف,275,6.0,0.75,0
نخواهیمبود,5356,10.0,0.71,0
تیروزین,348,7.0,0.75,0
ژوری,739,4.0,1.0,0
ژولیو,135,5.0,1.0,0
اسمارتفونی,108,10.0,0.71,0
س,67766,1.0,0.5,0
ساقی,2011,4.0,1.0,0
فرشته,15362,5.0,0.75,0
تلگرام,158769,6.0,0.6,0
تامپسون,1345,7.0,0.8,0
بودندو,157,6.0,0.75,0
بوژان,140,5.0,0.67,0
ایمنی‌شناسی,163,11.0,0.83,0
نت‌اسکیپ,168,8.0,1.25,0
وسلام,282,5.0,1.0,0
پریسا,3715,5.0,1.0,0
ماندگی‌ها,613,9.0,0.67,0
شش,181749,2.0,0.5,0
کاماز,222,5.0,0.67,0
بتن‌ریزی,837,8.0,1.25,0
رتب,545,3.0,0.33,0
محفظه,5555,5.0,0.75,0
داداش‌زاده,464,10.0,0.67,0
رادیوداروها,191,11.0,0.86,0
حقیقی,76945,5.0,1.0,0
ایضا,5322,4.0,1.0,0
خبازان,110,6.0,0.75,0
قداره,442,5.0,1.0,0
صهیون,378,5.0,0.75,0
پشنگ,509,4.0,0.5,0
خردشده,933,6.0,0.6,0
زودهنگام,17426,8.0,0.8,0
پائین‌تری,218,9.0,1.0,0
اضطرای,126,6.0,1.0,0
خصوصا,37686,5.0,1.0,0
تسری,6878,4.0,0.67,0
کردهباشی,386,8.0,0.67,0
عباسعلی,8438,7.0,1.0,0
بدشانسی‌ها,113,10.0,0.71,0
دلیوری,114,6.0,1.0,0
مسدود,55960,5.0,0.5,0
تسالونیکی,350,9.0,0.83,0
می‌انگیزد,662,9.0,0.8,0
نامتناهی,745,8.0,1.0,0
الفیلم,1140,6.0,0.6,0
فیس‌بوک,15663,7.0,0.6,0
فولادخوزستان,808,12.0,0.67,0
ایبری,467,5.0,1.0,0
جذبه,1181,4.0,0.4,0
والحق,111,5.0,0.75,0
یهی,138,3.0,1.0,0
تضم,1071,3.0,0.33,0
موزه,92480,4.0,1.0,0
ساخاروف,230,7.0,0.75,0
طغرل,1770,4.0,0.5,0
نورالثقلین,129,10.0,0.67,0
درماده,183,6.0,0.75,0
ساها,330,4.0,1.0,0
بی‌عاطفه,192,8.0,0.8,0
المپیا,586,6.0,0.75,0
فرماند‌ه,134,8.0,0.8,0
پرداخت‌کننده,1263,12.0,0.5,0
فرناندینیو,188,10.0,0.71,0
ساختهبودم,243,9.0,0.67,0
نقشه‌راه,251,8.0,0.67,0
معیار,59033,5.0,1.0,0
دانشکده,78876,7.0,0.8,0
عمره‌گزار,306,9.0,0.71,0
گابور,148,5.0,0.67,0
خواستهبودند,1564,11.0,1.0,0
ایمو,276,4.0,0.67,0
سباق,408,4.0,0.67,0
کرمیار,280,6.0,0.75,0
بإمکانی,127,7.0,0.67,0
بشینه,154,5.0,1.0,0
تحرق,139,4.0,0.5,0
جرب,221,3.0,0.4,0
گالکسی,957,6.0,0.75,0
هیچکس,11402,5.0,0.4,0
گوشیهای,2572,7.0,0.75,0
ابوالبشر,129,8.0,1.0,0
کردیان,114,6.0,0.75,0
بدیر,271,4.0,0.67,0
فنزویلا,621,7.0,0.8,0
تره,3423,3.0,1.0,0
معصومه,35713,6.0,0.75,0
آنجلسی,1004,6.0,0.5,0
ساده‌دلی,115,8.0,0.8,0
حاظر,1024,4.0,0.33,0
میهن‌دوستی,286,10.0,0.71,0
بنده,106038,4.0,0.67,0
وقار,2273,4.0,0.67,0
توانمندسازی,23860,11.0,0.86,0
نیکا,388,4.0,1.0,0
تأثیرات,8467,7.0,0.75,0
فاجر,208,4.0,0.2,0
والسید,209,6.0,1.0,0
بی‌هنر,214,6.0,0.75,0
گولد,1262,4.0,0.25,0
پشتیبان‌گیری,316,12.0,0.71,0
عه,152,2.0,1.0,0
اتیلن,5983,5.0,0.75,0
برکسی,470,5.0,0.75,0
هذیان,1681,5.0,1.0,0
همرا,760,4.0,0.67,0
می‌زنه,746,6.0,0.75,0
دوهفته‌ای,347,9.0,0.67,0
نبرد,65526,4.0,0.5,0
به‌پایان,326,8.0,0.67,0
تاحالا,336,6.0,0.75,0
انسداد,13270,6.0,0.6,0
برداشتهشد,8069,9.0,0.38,0
برتن,1304,4.0,0.5,0
کاری‌مان,110,8.0,0.8,0
میان‌تهی,184,8.0,0.67,0
انساندوستانه,676,12.0,0.67,0
کاپیتلناسیونال,130,14.0,0.75,0
ملاحظ,214,5.0,0.75,0
اوستیا,788,6.0,0.75,0
الثقافی,2419,7.0,0.8,0
کذایی,1748,5.0,0.75,0
دیتادار,199,7.0,0.75,0
جاک,173,3.0,0.25,0
ونزل,111,4.0,0.5,0
میتونه,1491,6.0,0.75,0
میکروسفالی,373,10.0,0.67,0
بایلی,140,5.0,1.0,0
شمل,322,3.0,0.67,0
بهمنماه,2500,7.0,0.5,0
یتذکر,144,5.0,1.33,0
لبریطانیا,115,9.0,1.2,0
ناد‌ید‌ه,101,8.0,1.33,0
دوکشور,2507,6.0,0.4,0
زوجین,22663,5.0,0.29,0
عمومی‌ترین,296,10.0,0.75,0
نخواهنددر,120,9.0,0.67,0
زنکنه,148,5.0,0.75,0
اوپکی‌ها,3391,8.0,0.57,0
پهن,18662,3.0,0.33,0
کارافتاده,463,9.0,1.0,0
نامشروع,11085,7.0,0.6,0
ایفیک,104,5.0,0.67,0
الکولیرا,596,8.0,0.83,0
متنوع‌سازی,619,10.0,0.71,0
هلمز,1098,4.0,0.5,0
رؤسای‌جمهور,136,11.0,0.75,0
یاری,39686,4.0,1.0,0
گلزنان,3414,6.0,0.6,0
آواژنگ,250,6.0,1.0,0
التأسیسی,389,8.0,0.67,0
ماناگوا,123,7.0,0.75,0
عدید,1464,4.0,0.67,0
زباله‌دان,827,9.0,1.2,0
مشکله,104,5.0,0.75,0
نیروی‌های,1421,9.0,1.5,0
پاشندگی,111,7.0,0.8,0
فوکویاما,469,8.0,0.8,0
ترکیه‌ای‌ها,194,11.0,0.67,0
فریمی,182,5.0,1.0,0
کمک‌کننده,5700,9.0,0.71,0
شدهباشند,5747,8.0,0.57,0
سقاخانه,1123,7.0,1.0,0
می‌گیرن,297,7.0,0.75,0
صحف,2692,3.0,0.67,0
الوفا,293,5.0,0.75,0
پیشاور,1229,6.0,0.75,0
تدریجی,26129,6.0,0.5,0
ولایت‌فقیه,19830,10.0,0.57,0
مدوید,199,5.0,0.75,0
باگبو,161,5.0,0.75,0
لقیاد,272,5.0,1.0,0
پتن,233,3.0,0.67,0
گرانی‌ها,2311,8.0,0.8,0
موضعگیری‌ها,154,11.0,1.0,0
تیبا,16660,4.0,1.0,0
آوالون,160,6.0,1.33,0
انانیموس,134,8.0,0.8,0
عزه,355,3.0,1.0,0
حین,57553,3.0,0.33,0
آش,10361,2.0,0.5,0
نخ‌نما,1296,6.0,0.4,0
چندماه,3749,6.0,0.33,0
مائوریسیو,410,9.0,0.83,0
دریامج,101,6.0,0.67,0
خودور,1123,5.0,0.5,0
سیمره,1153,5.0,0.5,0
انقلابی‌اش,122,10.0,0.71,0
آلکس,1123,4.0,0.5,0
اسلواکی,6761,7.0,0.8,0
تران,413,4.0,0.67,0
فصل‌الخطاب,967,10.0,0.71,0
مهمان‌خانه,344,10.0,0.83,0
ببینه,455,5.0,1.0,0
دانش‌آشتیانی,1000,12.0,0.62,0
معشیت,154,5.0,0.75,0
پودر,17718,4.0,0.33,0
الغ,119,3.0,0.67,0
کریمخان,1035,7.0,0.75,0
نئونازی,1210,7.0,1.25,0
گماشته,462,6.0,0.75,0
ننشستهاست,351,9.0,0.71,0
اوده,138,4.0,0.5,0
د‌رصد,1422,5.0,0.4,0
ببعی,338,4.0,0.67,0
بی‌طرف,10274,6.0,0.6,0
ته‌دیگ,777,6.0,0.75,0
ارکستری,654,7.0,0.67,0
ووقع,251,4.0,0.5,0
گره‌گشایی,2327,9.0,0.71,0
تیلاپیای,348,8.0,0.67,0
حاملا,121,5.0,1.0,0
سرق,609,3.0,0.33,0
حفاظا,111,5.0,1.0,0
نخستوزیر,329,8.0,0.67,0
برده‌است,1080,8.0,0.43,0
منقضی,1892,5.0,0.75,0
بهرمندی,288,7.0,0.67,0
مشکین,3105,5.0,0.5,0
بحمص,158,4.0,0.5,0
مور,8889,3.0,0.5,0
تاخیر‌های,246,9.0,1.0,0
لمد,2151,3.0,0.67,0
می‌بلعد,1248,7.0,0.5,0
ماسار,146,5.0,0.67,0
شناخت,77086,5.0,0.75,0
عملیاتی‌سازی,141,12.0,1.17,0
ظلی,542,3.0,1.0,0
هفتادویکمین,181,11.0,0.71,0
تشیر,1360,4.0,0.67,0
پاسگاه,5972,6.0,0.5,0
شیکوکو,147,6.0,0.75,0
یومیوری,189,7.0,0.8,0
بازماند,3403,7.0,0.4,0
ملودی,3125,5.0,0.75,0
گدار,1772,4.0,0.67,0
گیگز,773,4.0,0.67,0
بایست,1419,5.0,0.5,0
ونقلت,1693,5.0,0.6,0
گانگ,241,4.0,0.33,0
آندرتیکر,726,8.0,0.67,0
برگن,535,4.0,0.5,0
پشیز,265,4.0,0.67,0
غرفه,41803,4.0,0.67,0
فروسرخ,1050,6.0,0.8,0
یووه,2936,4.0,1.0,0
الأولین,107,7.0,0.67,0
مریلند,5951,6.0,0.6,0
برمکی,234,5.0,0.75,0
ازحادثه,131,7.0,0.8,0
تجارت,498838,5.0,0.5,0
الشریع,528,6.0,0.75,0
الانتماء,139,8.0,0.8,0
لنف,606,3.0,0.33,0
میله,6922,4.0,1.0,0
کارتل,1255,5.0,0.5,0
سشنز,1772,4.0,0.5,0
سفیدامضا,153,8.0,1.0,0
باسنلوران,261,9.0,0.67,0
ابه,481,3.0,0.67,0
آق‌قلا,1480,6.0,0.75,0
الخلیل,2333,6.0,0.6,0
آیرودینامیک,998,11.0,1.0,0
صدا‌وسیما,413,9.0,1.0,0
ابوالعلا,101,8.0,1.25,0
ماند‌ه,250,6.0,1.0,0
می‌شود‌ها,109,9.0,0.67,0
مید,864,3.0,0.5,0
چنس,103,3.0,0.25,0
هزارخانی,140,8.0,0.8,0
استدعا,1132,6.0,0.6,0
استوک,2055,5.0,0.4,0
پالادیوم,1459,8.0,0.8,0
متقاوت,117,6.0,0.8,0
نسخه,390786,4.0,0.67,0
میان‌مدت,13357,8.0,0.67,0
بحلب,291,4.0,0.5,0
آنتی‌اکسیدان‌های,871,16.0,0.7,0
زیادشدن,146,7.0,0.67,0
عصیانگر,264,7.0,0.8,0
ماء,947,3.0,0.5,0
سیمفا,952,5.0,1.0,0
تهران,1830314,5.0,0.5,0
نصیری,10657,5.0,1.0,0
بستنی‌سازی,166,10.0,0.67,0
ینبع,377,4.0,0.5,0
النفط,5732,5.0,0.6,0
مرینوس,242,6.0,0.75,0
کغم,153,3.0,0.67,0
مزمل,179,4.0,0.5,0
هدایت‌کننده,1167,11.0,0.62,0
نظرآهاری,180,8.0,1.0,0
خانم,161382,4.0,0.67,0
طفلک,387,4.0,0.5,0
میزبان,139915,6.0,0.5,0
تغییرکرده,121,9.0,0.83,0
السیاس,3151,6.0,0.75,0
گابنی,104,5.0,1.0,0
باج‌افزار,1739,9.0,0.43,0
مرشحا,169,5.0,0.75,0
اینیاریتو,150,9.0,1.25,0
میگیرن,375,6.0,0.75,0
میگنا,29834,5.0,0.67,0
چالوس,24813,5.0,0.5,0
هامانه,733,6.0,1.0,0
آینده‌نگری,3637,10.0,1.0,0
محققانه,281,7.0,0.8,0
مورس,934,4.0,0.5,0
ریست,1606,4.0,0.33,0
مورفی,1526,5.0,1.0,0
هنگ‌کنگ,19165,7.0,0.5,0
تحرک,35145,4.0,0.5,0
تعهدنامه,1223,8.0,0.67,0
راکوتن,155,6.0,0.75,0
لیاقت,6949,5.0,1.0,0
اثرگذاری,16837,8.0,0.67,0
دادهنمی‌شد,977,10.0,0.5,0
سرانه,41779,5.0,0.75,0
معلن,323,4.0,0.5,0
گالتی,103,5.0,0.67,0
اینجوری,1916,7.0,0.43,0
بیادی,1320,5.0,1.0,0
نیچه,1985,4.0,0.67,0
شهادتین,607,7.0,0.67,0
تیشه,1940,4.0,0.33,0
آفرین,26282,5.0,0.75,0
پونتیاک,591,7.0,0.75,0
فرسنگ,1790,5.0,0.4,0
بهورزان,249,7.0,1.0,0
نستوه,1148,5.0,0.5,0
ملانزی,111,6.0,1.0,0
ینجو,161,4.0,0.4,0
گده,104,3.0,1.0,0
جویشگر,1945,6.0,0.43,0
کسبوکارها,105,9.0,0.71,0
هلمند,1947,5.0,0.4,0
مسابقات,222430,7.0,0.8,0
غرار,493,4.0,0.67,0
کیبورد‌های,198,10.0,0.8,0
وزیربهداشت,1054,10.0,0.62,0
گفت‌و,1371,5.0,1.0,0
المعلم,1489,6.0,0.5,0
مشتریانش,2436,8.0,1.0,0
تمام‌اتوماتیک,530,13.0,0.75,0
سه‌هزار,2561,7.0,0.6,0
ارب,156,3.0,0.67,0
سیدهادی,1392,7.0,0.6,0
جهرم,21499,4.0,0.33,0
ربط,30586,3.0,0.33,0
صلاته,149,5.0,0.75,0
گزاران,3001,6.0,0.75,0
خانزاده,1537,7.0,0.75,0
لاغر,10051,4.0,0.67,0
وضعوا,160,5.0,1.33,0
شیبدار,1390,6.0,0.5,0
پلاگین‌های,408,10.0,0.83,0
تقبیح,3007,5.0,0.5,0
قرهی,644,4.0,1.0,0
مثمر,3603,4.0,0.5,0
کاری‌ها,1678,7.0,1.33,0
عسکریین,867,7.0,0.8,0
آل‌احمد,1064,7.0,0.6,0
هولدینگز,165,8.0,0.8,0
بلسبنه,108,6.0,0.8,0
خواب‌نما,108,8.0,0.67,0
وبخش,293,4.0,0.5,0
دوروبر,227,6.0,0.75,0
فرادید,1853,6.0,0.75,0
میذارم,216,6.0,0.75,0
لبس,250,3.0,0.33,0
وتاثیر,230,6.0,0.75,0
أم,3344,2.0,0.5,0
اسلامیایرانی,343,12.0,0.86,0
قالبا,114,5.0,0.67,0
میقان,642,5.0,0.67,0
یکطرفه,6238,6.0,0.75,0
پیش‌بینی‌شده,63763,12.0,1.0,0
وهوای,926,5.0,0.75,0
یتضح,209,4.0,0.5,0
اسلیم,2001,5.0,0.5,0
زندگی‌تون,270,9.0,0.67,0
ویضم,192,4.0,0.67,0
دارکوب,1608,6.0,0.5,0
ابدیت,1066,5.0,0.5,0
آرمیده,966,6.0,1.0,0
مرشد,2724,4.0,0.5,0
الند,134,4.0,0.5,0
متعلقه,2486,6.0,1.25,0
جذام,1985,4.0,0.4,0
یکه‌زارع,1305,8.0,0.33,0
تجسم,20340,4.0,0.33,0
ملاشیه,153,6.0,1.33,0
آجر,11230,3.0,0.4,0
بهکده,115,5.0,0.75,0
کم‌توجهی,1806,8.0,0.57,0
مو,91348,2.0,0.5,0
یهم,139,3.0,0.33,0
مخاطبانشان,680,10.0,0.71,0
غزها,113,4.0,1.0,0
ذیل,47181,3.0,0.5,0
کمدینی,155,6.0,0.8,0
ابریشمین,120,8.0,0.67,0
نرم‌خویی,113,8.0,0.67,0
چشم‌پوشی,10066,8.0,0.44,0
العینی‌ها,110,9.0,0.8,0
منوال,4056,5.0,1.0,0
انباء,7446,5.0,0.5,0
نفذه,186,4.0,0.67,0
هم‌گروه,2038,7.0,0.8,0
برآوردگر,163,8.0,0.83,0
بنرهایی,553,7.0,0.8,0
سامره,914,5.0,1.0,0
بی‌رنگ,2702,6.0,0.6,0
نیم‌میلیون,359,10.0,0.71,0
سه‌دهه,146,6.0,1.25,0
کای,1469,3.0,0.5,0
می‌شو,468,5.0,1.0,0
غیرقابل‌انکار,141,13.0,0.71,0
کاشیوا,153,6.0,1.33,0
عزلت,915,4.0,0.5,0
آمادهاست,15084,8.0,0.67,0
پلانت,176,5.0,0.75,0
خواهیدخورد,344,10.0,0.83,0
فال‌گیری,178,8.0,1.0,0
وسایل,91108,5.0,0.75,0
بازشدن,1929,6.0,0.4,0
درعوض,1287,5.0,0.5,0
اوکا,122,4.0,0.67,0
داگلاس,4110,6.0,0.75,0
موسی‌آباد,145,9.0,0.8,0
حد‌اکثر,115,7.0,0.8,0
سیکیم,119,5.0,0.67,0
فتی,344,3.0,1.0,0
ردمین,182,5.0,1.0,0
الطغا,110,5.0,0.75,0
چشمک,1393,4.0,0.4,0
الأوامر,216,7.0,1.0,0
مکنت,471,4.0,0.5,0
کارور,353,5.0,1.0,0
گوغر,106,4.0,0.5,0
امنی‌های,190,8.0,0.67,0
نقل,742141,3.0,0.33,0
لاابالی‌گری,288,11.0,0.83,0
یهودیه,329,6.0,1.33,0
فالوورهای,320,9.0,0.8,0
آنخل,903,4.0,0.5,0
القبرصی,104,7.0,0.67,0
مالویناس,173,8.0,1.0,0
محمدپورزرندی,1105,12.0,0.67,0
برداشتی,4894,7.0,0.6,0
ناممکن,4974,6.0,0.6,0
ابرستاره,290,8.0,0.67,0
معظم‌له,1801,7.0,0.67,0
بگفته,908,5.0,0.75,0
خویشاوند,6163,8.0,1.0,0
صفحات,65627,5.0,0.75,0
مسوولی,863,6.0,0.75,0
فرا,57940,3.0,1.0,0
النعمه,194,6.0,0.8,0
شورون,1239,5.0,0.67,0
بشارت,5177,5.0,0.75,0
مؤمنه,112,5.0,1.33,0
مثلأ,206,4.0,0.5,0
مصمم,18346,4.0,0.5,0
یذکر,3605,4.0,0.5,0
نامحرمان,797,8.0,0.67,0
کامبریا,173,7.0,1.0,0
افغانستان,155537,9.0,0.67,0
العائلات,276,8.0,0.67,0
آوردهشدهاست,3416,11.0,0.62,0
آقاکریمی,144,8.0,1.0,0
رش,554,2.0,0.5,0
فهد,2724,3.0,0.33,0
پرتردد,5204,6.0,0.5,0
یکلف,184,4.0,0.5,0
بنک,1043,3.0,0.67,0
سفاح,252,4.0,0.67,0
وسیع,57855,4.0,0.67,0
آفریده,3154,6.0,1.0,0
پشی,123,3.0,1.0,0
ذراع,279,4.0,0.67,0
اندروئید,201,8.0,0.67,0
کانیون,333,6.0,0.75,0
بارفروشی,111,8.0,0.67,0
مراسلونا,887,8.0,1.0,0
آماس,365,4.0,0.67,0
واسا,177,4.0,1.0,0
أنفسهم,1042,6.0,0.5,0
تطور,1562,4.0,0.67,0
ثمین,784,4.0,0.67,0
بردهنشود,410,8.0,0.67,0
میا,864,3.0,2.0,0
والدیه,109,6.0,0.75,0
القلمون,1466,7.0,0.43,0
پیشمرگه‌ها,152,10.0,0.67,0
مخملی,2166,5.0,0.75,0
وخدم,111,4.0,0.5,0
تاترا,158,5.0,0.67,0
طنزپرداز,1747,8.0,0.43,0
بالایی‌ها,107,9.0,0.8,0
مکالم,283,5.0,0.75,0
لباده,304,5.0,0.75,0
برمی‌گردانم,157,11.0,0.86,0
عیارآنلاین,311,10.0,1.2,0
لیته,204,4.0,1.0,0
نیلا,296,4.0,1.0,0
الحادی,1184,6.0,1.0,0
الکلاسیکو,236,9.0,1.2,0
اکستاسی,158,7.0,0.8,0
رائفی‌پور,159,9.0,0.67,0
عشرات,3348,5.0,0.4,0
ناکو,166,4.0,1.0,0
یبحث,764,4.0,0.5,0
فومی,200,4.0,0.67,0
نعناع,4188,5.0,0.5,0
واخذ,116,4.0,0.67,0
نیلز,498,4.0,0.67,0
شاق,368,3.0,0.5,0
گویندگان,2155,8.0,0.83,0
ژرمی,159,4.0,0.67,0
دبابات,254,6.0,0.75,0
خواص,39682,4.0,0.67,0
اوراکل,2330,6.0,0.6,0
ستادی,14375,5.0,1.0,0
بابیه,180,5.0,1.5,0
دانش‌بنیان,13460,10.0,0.83,0
حساب‌وکتاب,173,10.0,0.71,0
جفت‌گیری,1041,8.0,0.62,0
رومانوف,197,7.0,1.0,0
جودوکار,1632,7.0,0.38,0
زیبا‌سازی,102,9.0,1.25,0
ازاد,3081,4.0,0.67,0
دیواز,173,5.0,1.0,0
فراکسیون‌ها,2027,11.0,1.0,0
ایران‌خودرویی‌ها,413,16.0,0.78,0
منا,35814,3.0,1.0,0
تمپا,221,4.0,0.67,0
مخملباف,1407,7.0,0.67,0
المؤقت,577,6.0,0.67,0
گریپ,466,4.0,0.67,0
نخواهمبود,689,9.0,1.0,0
وبرگزاری,139,8.0,0.8,0
العلمانی,173,8.0,0.83,0
اسارات,149,6.0,0.75,0
میسازه,116,6.0,1.0,0
گلمن,267,4.0,0.5,0
هالیوودی‌ها,154,11.0,0.86,0
پذیرفتهخواهدشد,182,14.0,0.88,0
میرشمسی,389,7.0,0.8,0
دوکابین,962,7.0,0.6,0
دستورکار,6455,8.0,0.5,0
موومان,803,6.0,0.75,0
گلیسون,246,6.0,0.75,0
البلاد,11764,6.0,0.6,0
اسب‌سواری,1371,9.0,0.83,0
واست,294,4.0,0.33,0
کارت‌گرافیک,177,11.0,0.67,0
شاهرودتصاویر,328,12.0,0.86,0
هرقدر,1889,5.0,0.4,0
للبیع,132,5.0,1.0,0
قساوت,1512,5.0,0.75,0
فریدون,33881,6.0,0.75,0
آبگرم,1810,5.0,0.4,0
مخاطبا,291,6.0,1.0,0
تمس,174,3.0,0.33,0
باکیفیت,14360,7.0,0.75,0
برندسازی,6526,8.0,1.0,0
نگید,135,4.0,0.67,0
آنتیگوا,385,7.0,0.8,0
دارایی,197301,6.0,0.75,0
چشمانش,3771,6.0,0.5,0
حواث,144,4.0,0.67,0
زیرخاکی,371,7.0,0.75,0
مجاز,365247,4.0,0.4,0
استغفار,3216,7.0,0.5,0
اکدوا,114,5.0,1.0,0
فریقه,253,5.0,0.75,0
الاسالیب,143,8.0,0.8,0
امانت,12476,5.0,0.75,0
انت,1241,3.0,0.67,0
جریمه,89010,5.0,0.6,0
گلوتن,2094,5.0,0.75,0
