target_word,freq,LenChar,VowConRatio,label
الحساس,351,6.0,0.6,1
وقت‌شناس,262,8.0,0.5,1
پولساز,662,6.0,0.5,1
مقرارات,179,7.0,0.6,1
زهراوی,284,6.0,0.6,1
مبارک‌آباد,207,10.0,0.57,1
عجمان,603,5.0,0.5,1
اشغال‌گر,223,8.0,0.5,1
منجمان,780,6.0,0.43,1
بینانه,533,6.0,0.4,1
سرنشینانش,278,9.0,0.43,1
گیرودار,780,7.0,0.6,1
الاجرامی,288,8.0,0.57,1
القرش,105,5.0,0.33,1
تلاشتان,327,7.0,0.6,1
ناتینگهام,821,9.0,0.5,1
دولایه,340,6.0,0.4,1
عرق‌سوز,362,7.0,0.5,1
استفورد,144,7.0,0.5,1
سیدشمس,146,6.0,0.4,1
آسیب‌رساندن,135,11.0,0.62,1
شیلینگ,397,6.0,0.5,1
جلسهای,242,6.0,0.5,1
گوگل‌پلی,632,8.0,0.5,1
ضدکشتی,343,6.0,0.6,1
والموصل,165,7.0,0.4,1
مهرپور,484,6.0,0.4,1
مبتکرین,130,7.0,0.5,1
التفاهمات,127,9.0,0.57,1
هتل‌سازی,774,8.0,0.43,1
آتاکاما,199,7.0,0.5,1
والضغوط,105,7.0,0.6,1
دوبال,136,5.0,0.5,1
سیکلوترون,113,9.0,0.43,1
رابرتس,711,6.0,0.6,1
بات‌نت,235,6.0,0.5,1
درتحقیقات,158,9.0,0.57,1
یؤمنون,270,6.0,0.6,1
ایست‌های,444,8.0,0.6,1
الحوزات,160,7.0,0.6,1
کارتیه,179,6.0,0.5,1
نوآباد,119,6.0,0.6,1
وموسسات,313,7.0,0.6,1
افکارخبر,265,8.0,0.57,1
القیامه,182,7.0,0.6,1
پتروگوهر,122,8.0,0.5,1
مارکت‌های,708,9.0,0.43,1
بزبان,269,5.0,0.5,1
استبان,206,6.0,0.6,1
نصف‌جهان,109,8.0,0.57,1
نئوکان‌ها,101,9.0,0.5,1
فیلتر‌ها,143,8.0,0.5,1
السفارات,161,8.0,0.29,1
المود,202,5.0,0.5,1
بقذائف,206,6.0,0.6,1
الشتر,624,5.0,0.6,1
بردهبودیم,234,9.0,0.5,1
نابسمان,132,7.0,0.6,1
بعبارت,432,6.0,0.6,1
آمیختهشود,178,9.0,0.5,1
اشتباهاتم,118,9.0,0.57,1
سی‌و‌چهارم,110,10.0,0.57,1
بودهباشند,805,9.0,0.57,1
دیشموک,475,6.0,0.5,1
جوانون,205,6.0,0.5,1
المجمع,435,6.0,0.38,1
سپردهخواهندشد,182,13.0,0.5,1
پیچای,722,5.0,0.5,1
وعسکری,232,6.0,0.6,1
برصنعت,157,6.0,0.6,1
مایکلسون,206,8.0,0.6,1
زیباحالت,269,8.0,0.6,1
المبرم,213,6.0,0.5,1
إبقاء,169,5.0,0.4,1
یعلون,673,5.0,0.5,1
زدهنشدهاست,173,10.0,0.56,1
هوش‌مصنوعی,132,10.0,0.62,1
متحرک‌سازی,119,10.0,0.62,1
کامپیوترمون,172,11.0,0.56,1
مجرمانی,452,7.0,0.57,1
کامپایل,713,7.0,0.33,1
هم‌پیمانانش,638,11.0,0.57,1
التطرق,110,6.0,0.5,1
بیسفون,713,6.0,0.4,1
مزدورانش,184,8.0,0.57,1
کارگزارانش,103,10.0,0.5,1
تنازلات,179,7.0,0.6,1
اورکت,166,5.0,0.6,1
فارمینگ,106,7.0,0.4,1
غیرعملیاتی,738,10.0,0.57,1
یخالف,214,5.0,0.5,1
ارتکبها,313,7.0,0.5,1
ویلدرز,263,6.0,0.6,1
تعذیب,346,5.0,0.5,1
لمهرجان,122,7.0,0.5,1
باتفاق,373,6.0,0.4,1
مگسال,181,5.0,0.5,1
البسیط,213,6.0,0.6,1
الرحیل,195,6.0,0.6,1
بالمال,285,6.0,0.5,1
اوراقچی,156,7.0,0.5,1
برحفظ,122,5.0,0.17,1
باسورث,101,6.0,0.5,1
جهانعکس,190,7.0,0.43,1
رودریگوئز,222,9.0,0.43,1
دوشیفت,109,6.0,0.5,1
آنگلوساکسون,391,11.0,0.44,1
فازدوم,359,6.0,0.4,1
وکارتگرافی,105,10.0,0.5,1
ویندوزفونی,497,10.0,0.5,1
تومانسمند,115,9.0,0.57,1
للسفار,116,6.0,0.6,1
تعهدآور,568,7.0,0.5,1
جکوزی,848,5.0,0.6,1
روزمزد,566,6.0,0.4,1
خونه‌ی,211,6.0,0.6,1
مردهباشد,226,8.0,0.43,1
کارتخوان‌ها,746,11.0,0.57,1
تجمعوا,103,6.0,0.5,1
دربرمی‌گرفت,163,11.0,0.5,1
الشهری,238,6.0,0.6,1
خردایش,113,6.0,0.6,1
والتوصل,131,7.0,0.5,1
پرمعنا,700,6.0,0.4,1
خدمت‌گذاری,256,10.0,0.62,1
مولوتوف,159,7.0,0.5,1
اولیانوفسک,213,10.0,0.5,1
همپتون,472,6.0,0.6,1
پوینتر,112,6.0,0.6,1
تفرقه‌افکن,402,10.0,0.5,1
ابزارک,203,6.0,0.6,1
وویجر,454,5.0,0.43,1
سوء‌مصرف,222,8.0,0.57,1
دوباشگاه,211,8.0,0.6,1
پستی‌ها,153,7.0,0.6,1
مک‌فارلین,341,9.0,0.43,1
احتجاجات,713,8.0,0.5,1
الجنا,106,5.0,0.5,1
مجلدات,494,6.0,0.43,1
تندتری,734,6.0,0.6,1
ان‌اچ‌کی,151,8.0,0.57,1
سیمپلکس,258,7.0,0.5,1
سرسبد,892,5.0,0.4,1
پنتیوم,228,6.0,0.6,1
وتستمر,190,6.0,0.6,1
میرچی,120,5.0,0.5,1
شودند,110,5.0,0.4,1
کشاندهشد,270,8.0,0.57,1
بالحرب,246,6.0,0.6,1
سوپراسپرت‌های,116,13.0,0.42,1
فان‌خال,140,7.0,0.6,1
دلاردر,158,6.0,0.6,1
آن‌جاست,249,7.0,0.29,1
قتلهم,149,5.0,0.6,1
ندامتگاه,781,8.0,0.43,1
استقطاب,234,7.0,0.5,1
بأعمال,276,6.0,0.6,1
سیمکارته,191,8.0,0.6,1
المجاور,825,7.0,0.5,1
جهانشمولی,156,9.0,0.44,1
آکسون,773,5.0,0.4,1
ضددرد,504,5.0,0.4,1
عبدالباسط,417,9.0,0.57,1
جبارین,154,6.0,0.5,1
میتران,501,6.0,0.5,1
جیلین,192,5.0,0.4,1
پرکننده,552,7.0,0.5,1
آنسوتر,122,6.0,0.4,1
آبنار,342,5.0,0.5,1
یک‌به‌یک,345,8.0,0.6,1
بی‌گدار,418,7.0,0.6,1
بزرگ‌جثه,108,8.0,0.5,1
بیجان,315,5.0,0.33,1
ازجانب,738,6.0,0.29,1
گوشت‌کوب,150,8.0,0.33,1
التیارات,588,8.0,0.6,1
تورنمت,291,6.0,0.5,1
مینویسه,118,7.0,0.5,1
آینتراخت,219,8.0,0.57,1
بالویی,181,6.0,0.6,1
الکرس,232,5.0,0.6,1
آلبوس,136,5.0,0.5,1
سگ‌کشی,643,6.0,0.4,1
دیمستورا,138,8.0,0.43,1
پرکربوهیدرات,111,12.0,0.56,1
روشنفکرنما,226,10.0,0.57,1
اوکابیر,228,7.0,0.6,1
اللحم,345,5.0,0.6,1
آلباسته,275,7.0,0.6,1
اینترنی,207,7.0,0.6,1
سطحی‌نگر,240,8.0,0.43,1
باندا,243,5.0,0.5,1
هادرون,147,6.0,0.5,1
انتخب,149,5.0,0.4,1
یک‌دوره‌ای,166,10.0,0.57,1
تتوفر,230,5.0,0.4,1
روز‌به‌روز,703,10.0,0.62,1
میپرسه,103,6.0,0.4,1
حجت‌آباد,168,8.0,0.57,1
التشغیل,199,7.0,0.5,1
گایاردو,136,7.0,0.6,1
سی‌وهفتمین,107,10.0,0.62,1
فیاض‌بخش,353,8.0,0.6,1
بیوتروریستی,116,11.0,0.56,1
باردر,231,5.0,0.5,1
کانادائی,150,8.0,0.6,1
بالمحافظ,112,8.0,0.29,1
گرفتهخواهندشد,370,13.0,0.6,1
هم‌شأن,173,6.0,0.6,1
بده‌بستان,260,9.0,0.57,1
فدرالیسم,416,8.0,0.5,1
بلبرینگ,518,7.0,0.5,1
کاسموس,223,6.0,0.5,1
ناصح‌پور,111,8.0,0.6,1
آتکینسون,110,8.0,0.57,1
الخنساء,118,7.0,0.5,1
تمرچین,358,6.0,0.5,1
ورهبری,187,6.0,0.6,1
افزودهشوند,238,10.0,0.4,1
پیلاتس,374,6.0,0.5,1
قشقرق,165,5.0,0.6,1
امیرپور,314,7.0,0.6,1
کامبربچ,292,7.0,0.29,1
کندال,336,5.0,0.5,1
آلدوس,202,5.0,0.5,1
چشمگیرتری,246,9.0,0.62,1
بهخصوص,177,6.0,0.6,1
باعث‌شده,165,8.0,0.5,1
تعرضه,227,5.0,0.4,1
الطیبین,142,7.0,0.6,1
بالمغرب,166,7.0,0.5,1
هرمیون,240,6.0,0.6,1
گاردل,206,5.0,0.5,1
هیستینگز,149,8.0,0.5,1
پلاسمید,125,7.0,0.6,1
کارنیتین,284,8.0,0.6,1
خودنویس,581,7.0,0.5,1
الأوراق,225,7.0,0.6,1
وانعدام,147,7.0,0.6,1
کنتون,111,5.0,0.4,1
استغفرالله,252,10.0,0.4,1
چندین‌سال,200,9.0,0.57,1
مانشستر,400,7.0,0.6,1
شبدیز,190,5.0,0.5,1
همیشه‌بهار,421,10.0,0.5,1
شکرخام,228,6.0,0.4,1
غیرنیازمند,826,10.0,0.57,1
هماتوکریت,169,9.0,0.57,1
للمستخدم,145,8.0,0.5,1
العروب,165,6.0,0.6,1
ایجاد‌کننده,206,11.0,0.5,1
نابخرد,254,6.0,0.4,1
جهانخواران,349,10.0,0.62,1
مسگرآباد,121,8.0,0.43,1
پرسش‌گر,117,7.0,0.57,1
جاسمین,252,6.0,0.5,1
بازخور,156,6.0,0.4,1
بی‌اغراق,362,8.0,0.6,1
وامی‌داشت,121,9.0,0.5,1
احقاف,126,5.0,0.5,1
چشم‌های‌تان,179,11.0,0.57,1
عکسالعمل,117,8.0,0.43,1
للشعوب,189,6.0,0.6,1
گارگاه,117,6.0,0.5,1
نمدار,241,5.0,0.5,1
قویونلو,232,7.0,0.25,1
کارنیج,105,6.0,0.33,1
میشناسد,137,7.0,0.33,1
بکنین,110,5.0,0.4,1
ترموکوپل,128,8.0,0.5,1
بازمی‌گشت,686,9.0,0.57,1
محذوف,212,5.0,0.5,1
وپانصد,104,6.0,0.6,1
کارفرماست,208,9.0,0.5,1
ورمانت,898,6.0,0.6,1
اعتد‌ال,142,7.0,0.43,1
انباشتهمی‌شوند,191,14.0,0.55,1
مصرف‌کنندگانی,334,13.0,0.56,1
انیکس,283,5.0,0.5,1
بی‌صاحب,503,7.0,0.5,1
التحرش,150,6.0,0.5,1
الذنب,180,5.0,0.4,1
هینتون,113,6.0,0.4,1
کلبرگ,178,5.0,0.4,1
الأخو,109,5.0,0.5,1
میدلزبورو,685,9.0,0.5,1
پیرسهراب,118,8.0,0.6,1
لإطلاق,650,6.0,0.6,1
اتمسفریک,139,8.0,0.5,1
میکروفون‌ها,110,11.0,0.62,1
گنه‌کار,128,7.0,0.5,1
تومانلیر,182,8.0,0.5,1
گیرکردن,173,7.0,0.5,1
تلخ‌کام,143,7.0,0.33,1
توتولینک,276,8.0,0.43,1
بیطار,368,5.0,0.5,1
خوش‌قیافه,330,9.0,0.5,1
شیرمرد,146,6.0,0.4,1
چت‌ها,267,5.0,0.5,1
بزریل,249,5.0,0.5,1
مشکور,296,5.0,0.5,1
قاد‌ر,159,5.0,0.5,1
بالحصول,110,7.0,0.6,1
رامبدجوان,125,9.0,0.56,1
ومعارف,117,6.0,0.6,1
خیس‌خورده,212,9.0,0.57,1
دادهنشدهباشد,144,12.0,0.56,1
الوجه,575,5.0,0.6,1
بارنتز,199,6.0,0.6,1
السخری,173,6.0,0.6,1
محاجه,196,5.0,0.6,1
اندرون,573,6.0,0.6,1
درحمایت,663,7.0,0.5,1
بازگشتید,119,8.0,0.43,1
امیرکیا,137,7.0,0.6,1
تاونسند,202,7.0,0.6,1
سنگسر,740,5.0,0.4,1
شاهدید,108,6.0,0.5,1
تارگاه,357,6.0,0.5,1
منقبت,368,5.0,0.6,1
یلتسین,823,6.0,0.6,1
جمعبندی,691,7.0,0.44,1
محتلف,369,5.0,0.6,1
نوخاسته,133,7.0,0.6,1
یزدان‌بخش,190,9.0,0.5,1
پتروشمی,466,7.0,0.5,1
لاچین,691,5.0,0.5,1
درپنج,127,5.0,0.29,1
آزمایی‌های,102,10.0,0.5,1
ایران‌اند,122,9.0,0.5,1
مثبت‌اندیش,145,10.0,0.57,1
سوررئالیسم,204,10.0,0.43,1
خوشبین‌ترین,119,11.0,0.56,1
راعتماد,563,7.0,0.33,1
استعرض,135,6.0,0.5,1
مفصل‌بندی,124,9.0,0.44,1
پرایمر,108,6.0,0.6,1
محبوس‌شدگان,119,11.0,0.62,1
گرونوبل,137,7.0,0.6,1
سرجایش,688,6.0,0.43,1
چندهفته‌ای,109,10.0,0.56,1
جدیدالتاسیس,497,11.0,0.56,1
سلطان‌محمدی,126,11.0,0.5,1
نی‌لبک,104,6.0,0.4,1
برحمایت,231,7.0,0.33,1
دیکتاتورهایی,121,12.0,0.62,1
رجایی‌شهر,250,9.0,0.5,1
والبحث,193,6.0,0.5,1
ضرباهنگ,712,7.0,0.5,1
غفارمنش,409,7.0,0.5,1
بالحل,112,5.0,0.5,1
کلکچال,154,6.0,0.5,1
آزادمرد,407,7.0,0.5,1
دستفروشی‌ها,104,11.0,0.57,1
بازجذب,477,6.0,0.29,1
ترنسکشوال,149,9.0,0.57,1
دوستانه‌تری,106,11.0,0.57,1
وزیردادگستری,327,12.0,0.56,1
بورگاس,264,6.0,0.5,1
للنظر,159,5.0,0.6,1
جدانشدنی,770,8.0,0.62,1
ثروت‌آفرینی,319,11.0,0.44,1
شیرخشک‌های,219,10.0,0.38,1
نیوجرزی,195,7.0,0.57,1
توانمندتری,106,10.0,0.62,1
کلاهبردارها,269,11.0,0.56,1
مسالمت‌جو,174,9.0,0.62,1
پختهمی‌شود,764,10.0,0.62,1
آبپاش,428,5.0,0.5,1
هاپوئل,127,6.0,0.6,1
ریدینگ,320,6.0,0.5,1
فوق‌تخصصی,334,9.0,0.57,1
بی‌همتاست,130,9.0,0.5,1
وسیله‌نقلیه,154,11.0,0.62,1
تلغراف,149,6.0,0.6,1
وکارگردان,156,9.0,0.57,1
عزت‌نفس,331,7.0,0.38,1
ایراناروپا,210,10.0,0.57,1
طرفدارانم,122,9.0,0.57,1
صاحبنام,286,7.0,0.6,1
درمان‌گر,345,8.0,0.43,1
وتطالب,172,6.0,0.6,1
استرادا,254,7.0,0.5,1
اسپارتاکوس,439,10.0,0.57,1
تأدیبی,115,6.0,0.5,1
پشت‌میزنشین,170,11.0,0.62,1
فرنان,114,5.0,0.5,1
الموک,111,5.0,0.5,1
للجماع,104,6.0,0.43,1
ارگانیگ,101,7.0,0.6,1
پای‌بست,139,7.0,0.6,1
فرمان‌روایی,129,11.0,0.62,1
غیردانشگاهی,231,11.0,0.5,1
واستمر,156,6.0,0.4,1
فرمانبرداری,598,11.0,0.62,1
د‌لار,538,5.0,0.5,1
سی‌وسه‌پل,289,9.0,0.43,1
دسته‌دار,196,8.0,0.43,1
مک‌دانلد,159,8.0,0.6,1
طاری‌بخش,127,8.0,0.6,1
پوتوسی,194,6.0,0.6,1
آبسردکن,111,7.0,0.44,1
افکنند,122,6.0,0.5,1
کنترباس,353,7.0,0.5,1
یتعارض,312,6.0,0.6,1
للقاعد,285,6.0,0.4,1
کلونازپام,129,9.0,0.57,1
الأصوات,364,7.0,0.6,1
اسکلروزیس,280,9.0,0.57,1
لعلکم,444,5.0,0.6,1
السبع,617,5.0,0.6,1
بالإعدام,301,8.0,0.43,1
نریختهاست,118,9.0,0.57,1
جاسوس‌افزار,122,11.0,0.56,1
پپتید,475,5.0,0.5,1
اختراع‌شده,613,10.0,0.57,1
نمیکرد,315,6.0,0.6,1
بسته‌شدن,630,8.0,0.33,1
سلطه‌طلب,557,8.0,0.57,1
بترساند,618,7.0,0.5,1
القطب,169,5.0,0.6,1
کارچاق‌کن,237,9.0,0.43,1
اسماگ,168,5.0,0.5,1
مغزینخاعی,154,9.0,0.57,1
پسردار,157,6.0,0.33,1
جرداق,245,5.0,0.33,1
الکراد,281,6.0,0.6,1
استاوانگر,125,9.0,0.57,1
جانستون,405,7.0,0.43,1
برحسن,139,5.0,0.6,1
رحمانپور,142,8.0,0.43,1
حنیف‌نژاد,156,9.0,0.5,1
یرزقون,360,6.0,0.6,1
والاسلام,127,8.0,0.6,1
تجانس,498,5.0,0.5,1
ورجاوند,211,7.0,0.38,1
برمیگرداند,102,10.0,0.62,1
جلیل‌القدر,470,10.0,0.44,1
مادرکشی,117,7.0,0.6,1
