Original_sentence,simplified_1,simplified_2
هرابال نویسنده پرکاری بود که بدون توجه به چاپ اثرش و گاهی به اصطلاح برای بایگانی در کشوی میز می‌نوشت ولی آثارش همیشه و در همان زمان به صورت نسخه‌های دست‌نویس بین مردم دست به دست می‌شد.,هرابال نویسنده پرکاری بود که بدون توجه به چاپ اثرش و گاهی به شوخی برای بایگانی در کشوی میز می‌نوشت ولی آثارش همیشه و در همان زمان به صورت نمونه‌های دست‌نویس بین مردم دست به دست می‌شد.,هرابال نویسنده پرکاری بود که بدون توجه به چاپ اثرش و گاهی به اصطلاح برای نگهداری در کشوی میز می‌نوشت ولی آثارش همیشه و در همان زمان به صورت نسخه‌های دست‌نویس بین مردم دست به دست می‌شد.
این شخصیت توسط نویسنده استن لی و طراح جان بوشما بر پایه مفیستوفل، شخصیتی اهریمنی در افسانه‌های فاوست خلق شده‌است؛ که برای اولین بار در شماره ۳ از کمیک موج‌سوار نقره‌ای دسامبر ۱۹۶۸ معرفی شد.,این شخصیت توسط نویسنده استن لی و طراح جان بوشما بر پایه مفیستوفل، شخصیتی شیطانی در افسانه‌های فاوست ایجاد شده‌است؛ که برای اولین بار در شماره ۳ از کمیک موج‌سوار نقره‌ای دسامبر ۱۹۶۸ معرفی شد.,این شخصیت توسط نویسنده استن لی و طراح جان بوشما بر پایه مفیستوفل، شخصیتی شیطانی در افسانه‌های فاوست خلق شده‌است؛ که برای اولین بار در شماره ۳ از کمیک موج‌سوار نقره‌ای دسامبر ۱۹۶۸ معرفی شد.
به گزارش ایران، سهیلا ۲۴ ساله که مادر دختری ۲ ساله و پسری ۴ ماهه است، چند روزقبل فرزندانش را به خانواده همسرش سپرد و از عراق راهی ایران شد.,به گزارش ایران، سهیلا ۲۴ ساله که مادر دختری ۲ ساله و پسری ۴ ماهه است، چند روزقبل فرزندانش را به خانواده همسرش داد و از عراق به سمت ایران راه افتاد.,به گزارش ایران، سهیلا ۲۴ ساله که مادر دختری ۲ ساله و پسری ۴ ماهه است، چند روزقبل فرزندانش را به خانواده همسرش سپرد و از عراق راهی ایران شد.
خانه دوست کجا است داستان ساده‌ای درباره یک پسر مدرسه‌ای هشت ساله باوجدان را روایت می‌کند که تلاش می‌کند دفترچه دوستش را که در روستای همسایه زندگی می‌کند به او بازگرداند وگرنه دوستش را از مدرسه بیرون می‌کنند.,خانه دوست کجا است داستان ساده‌ای درباره یک پسر مدرسه‌ای هشت ساله مسئولیت‌پذیر را روایت می‌کند که تلاش می‌کند دفترچه دوستش را که در روستای همسایه زندگی می‌کند به او بازگرداند وگرنه دوستش را از مدرسه بیرون می‌کنند.,خانه دوست کجا است داستان ساده‌ای درباره یک پسر مدرسه‌ای هشت ساله باوجدان را روایت می‌کند که تلاش می‌کند دفترچه دوستش را که در روستای همسایه زندگی می‌کند به او برگرداند وگرنه دوستش را از مدرسه بیرون می‌کنند.
این عصاره برای درمان سرماخوردگی و گلودرد بسیار نافع است و از آن می‌توان به عنوان غرغره در هنگام گلودرد استفاده کرد.,این ماده برای درمان سرماخوردگی و گلودرد بسیار خوب است و از آن می‌توان به عنوان غرغره در هنگام گلودرد استفاده کرد.,این عصاره برای درمان سرماخوردگی و گلودرد بسیار مفید است و از آن می‌توان به عنوان غرغره در هنگام گلودرد استفاده کرد.
۵  ماست اورگانیک ۱۰۰ گرم حاوی ۱۰۰ تا ۱۵۰ میلیگرم کلیسیم ماست از مواد لبنی است و حاوی کلسیم بالا است.,۵  ماست طبیعی ۱۰۰ گرم دارای ۱۰۰ تا ۱۵۰ میلیگرم کلیسیم ماست از مواد بر پایه شیر است و دارای کلسیم بالا است.,۵  ماست اورگانیک ۱۰۰ گرم حاوی ۱۰۰ تا ۱۵۰ میلیگرم کلیسیم ماست از مواد لبنی است و حاوی کلسیم بالا است.
در پایان جنگ‌های ۲۸ ساله ایران و روسیه و پس از تصرف شهر ایروان، روس‌ها به سمت خانات نخجوان لشکر کشیدند و با عهدنامه ترکمانچای، رود ارس مرز میان ایران و روسیه تعین شد.,در پایان جنگ‌های ۲۸ ساله ایران و روسیه و پس از گرفتن شهر ایروان، روس‌ها به سمت خانات نخجوان رفتند و با قرارداد ترکمانچای، رود ارس مرز میان ایران و روسیه تعین شد.,در پایان جنگ‌های ۲۸ ساله ایران و روسیه و پس از تصرف شهر ایروان، روس‌ها به سمت خانات نخجوان لشکر کشیدند و با عهدنامه ترکمانچای، رود ارس مرز میان ایران و روسیه تعین شد.
به گزارش رسانه ایران به نقل از ایسنا، متن بیانیه جنبش غیرمتعهد‌ها به شرح زیر است: آقای رییس ۱ جنبش غیرمتعهدها مایل است مراتب تشکر خود را از مدیر‌کل آژانس بین‌المللی انرژی اتمی، یوکیا آمانو، به خاطر گزارش وی درباره اجرای موافقت‌نامه پادمان در جمهوری اسلامی ایران مندرج در سند ۶۲  ۲۰۱۰   ابراز کند.,به گزارش رسانه ایران به نقل از ایسنا، متن بیانیه جنبش غیرمتعهد‌ها به شرح زیر است: آقای رییس ۱ جنبش غیرمتعهدها می‌خواهد بارها تشکر خود را از مدیر‌کل آژانس بین‌المللی انرژی اتمی، یوکیا آمانو، به خاطر گزارش وی درباره اجرای قرارداد پادمان در جمهوری اسلامی ایران مندرج در سند ۶۲ ۲۰۱۰ ابراز کند.,به گزارش رسانه ایران به نقل از ایسنا، متن بیانیه جنبش غیرمتعهد‌ها به شرح زیر است: آقای رییس ۱ جنبش غیرمتعهدها مایل است مراتب تشکر خود را از مدیر‌کل آژانس بین‌المللی انرژی اتمی، یوکیا آمانو، به خاطر گزارش وی درباره اجرای موافقت‌نامه پادمان در جمهوری اسلامی ایران مندرج در سند ۶۲  ۲۰۱۰   ابراز کند.
همه میگن که محاله بیای تو جلسه حاجی و منقلب برنگردی؛ منم که سال‌هاس که انگار اشک با چشمام قهر کرده.,همه میگن که ممکن نیست بیای تو جلسه حاجی و ناراحت برنگردی؛ منم که سال‌هاس که انگار اشک با چشمام قهر کرده.,همه میگن که محاله بیای تو جلسه حاجی و منقلب برنگردی؛ منم که سال‌هاس که انگار اشک با چشمام قهر کرده.
او همچنین در جلسات مناظره ابوبکر الخطاب عالم حنفی شرکت کرد و شاید در آنجا نزد محمد بن ابراهیم المقانه‌ای الرازی، از شاگردان ابوالقاسم البلخی، کلام تحصیل‌کرده باشد.,او همچنین در جلسه‌های گفتگو ابوبکر الخطاب عالم حنفی شرکت کرد و شاید در آنجا در کنار محمد بن ابراهیم المقانه‌ای الرازی، از شاگردان ابوالقاسم البلخی، کلام یادگرفته باشد.,او همچنین در جلسات مناظره ابوبکر الخطاب عالم حنفی شرکت کرد و شاید در آنجا نزد محمد بن ابراهیم المقانه‌ای الرازی، از شاگردان ابوالقاسم البلخی، کلام تحصیل‌کرده باشد.
در وزن ۶۰  کیلوگرم که از میان مدعیان تنها تاکاتو ی ژاپنی با رنکنیگ یک دنیا غیبت داشت، نفراتدوم تا هفتم رنکنیگ طعم تلخ شکست را چشیدند.,در وزن ۶۰  کیلوگرم که از میان شرکت کنندگان تنها تاکاتو ی ژاپنی با رتبه یک دنیا نبود، نفراتدوم تا هفتم رتبه‌بندی طعم تلخ شکست را چشیدند.,در وزن ۶۰  کیلوگرم که از میان شرکت‌کنندگان تنها تاکاتو ی ژاپنی با رتبه یک دنیا غیبت داشت، نفراتدوم تا هفتم رتبه طعم تلخ شکست را چشیدند.
از این رو با اولویت گذاری میان استان‌های محروم و استان‌هایی با نرخ بیکاری بالاتر از متوسط طرح کارورزی را به اجرا می‌گذارد تا با کاهش هزینه‌های آموزشی به نیروی کار بنگاه‌ها را برای جذب فارغ التحصیلان دانشگاهی تشویق کند.,به این علت با اولویت گذاری میان استان‌های محروم و استان‌هایی با مقدار بیکاری بالاتر از متوسط طرح کارورزی را به اجرا می‌گذارد تا با کاهش هزینه‌های آموزشی به نیروی کار مراکز را برای جذب فارغ التحصیلان دانشگاهی تشویق کند.,بنابراین با اولویت گذاری میان استان‌های فقیر و استان‌هایی با نرخ بیکاری بالاتر از متوسط طرح کارورزی را به اجرا می‌گذارد تا با کاهش هزینه‌های آموزشی به نیروی کار شرکتها را برای جذب فارغ التحصیلان دانشگاهی تشویق کند.
اصلاح نانویی استفاده از ذرات نانو برای اصلاح محیطی و تصفیه آب مقاله اصلی نانو فیلتراسیون و اصلاح نانویی تکنولوژی نانو پتانسیل مواد نانویی نو برای تصفیه آبهای سطحی، آبهای زیر زمینی، فاضلاب و دیگر مواد محیطی آلوده‌شده بوسیله مواد سمی و یون‌ها و املاح ارگانیک و غیر ارگانیک و میکروارگانیسم‌ها را پیشنهاد می‌دهد.,اصلاح نانویی استفاده از ذرات نانو برای اصلاح محیطی و تصفیه آب مقاله اصلی نانو فیلتراسیون و اصلاح نانویی تکنولوژی نانو پتانسیل مواد نانویی نو برای تصفیه آبهای سطحی، آبهای زیر زمینی، فاضلاب و دیگر مواد محیطی آلوده‌شده بوسیله مواد سمی و یون‌ها و املاح طبیعی و غیر طبیعی و میکروارگانیسم‌ها را پیشنهاد می‌دهد.,اصلاح نانویی استفاده از ذرات نانو برای اصلاح محیطی و تصفیه آب مقاله اصلی نانو فیلتراسیون و اصلاح نانویی تکنولوژی نانو پتانسیل مواد نانویی نو برای تصفیه آبهای سطحی، آبهای زیر زمینی، فاضلاب و دیگر مواد محیطی آلوده‌شده بوسیله مواد سمی و یون‌ها و املاح ارگانیک و غیر ارگانیک و میکروارگانیسم‌ها را پیشنهاد می‌دهد.
برای درمان الوپسی مردانه از مینوکسیدیل موضعی و روشهای جراحی مختلف می‌توان سود برد.,برای درمان الوپسی مردانه از مینوکسیدیل موضعی و روشهای جراحی مختلف می‌توان استفاده کرد.,برای درمان کچلی مردانه از مینوکسیدیل موضعی و روشهای جراحی مختلف می‌توان سود برد.
تماماین انسانیت‌ها را فراموش کردندواین خاله‌زنک بازی‌ها را راه انداختند که من درتمام عمرم از آن فراری بوده‌ام.,تماماین انسان بودن‌ ها را فراموش کردندواین خاله‌زنک بازی‌ها را راه انداختند که من درتمام عمرم از آن فراری بوده‌ام.,تماماین انسانیت‌ها را فراموش کردندواین خاله‌زنک بازی‌ها را راه انداختند که من درتمام عمرم از آن فراری بوده‌ام.
مشکلات و راه‌حل درست‌کردن بتونه برای حل مشکلات مربوط به میزان چسبندگی و شل‌بودن بتونه به دو دلیل اساسی اشاره می‌شود: اگر بتونه‌ای که جهت مصرف در نقاشی ساختمان درست شده‌است مشکل سفت‌بودن را داشته باشیم، باید یادآور شد که در ساخت بتونه از آب زیاد استفاده شده‌است.,مشکلات و راه‌حل درست‌کردن بتونه برای حل مشکلات مربوط به میزان چسبندگی و شل‌بودن بتونه به دو دلیل اساسی اشاره می‌شود: اگر بتونه‌ای که جهت مصرف در نقاشی ساختمان درست شده‌است مشکل سفت‌بودن را داشته باشیم، باید گفت که در ساخت بتونه از آب زیاد استفاده شده‌است.,مشکلات و راه‌حل درست‌کردن بتونه برای حل مشکلات مربوط به میزان چسبندگی و شل‌بودن بتونه به دو دلیل اساسی اشاره می‌شود: اگر بتونه‌ای که جهت مصرف در نقاشی ساختمان درست شده‌است مشکل سفت‌بودن را داشته باشیم، باید یادآور شد که در ساخت بتونه از آب زیاد استفاده شده‌است.
و مهرورزی کن نسبت به آنکه با تو خشونت می‌کند.,و محبت کن نسبت به آنکه با تو بدی می‌کند.,و مهربانی کن نسبت به آنکه با تو خشونت می‌کند.
اطلاعات و امکانات رفاهی و علمی و روشمندباید محققانه و نقادانه باشند و رویکرد منتقد به نقد امروز می‌بایست رویکردی روانشناسانه و جامعه‌شناسانه توام با ایده‌هایی نو و فلسفی باشد.,اطلاعات و امکانات رفاهی و علمی و روشمندباید با تحقیق و پرسش کننده باشند و رویکرد منتقد به نقد امروز می‌بایست روشی روانشناسانه و جامعه‌شناسانه همراه با ایده‌هایی نو و فلسفی باشد.,اطلاعات و امکانات رفاهی و علمی و روشمندباید محققانه و انتقادانه باشند و روش منتقد به نقد امروز می‌بایست روشی روانشناسانه و جامعه‌شناسانه همراه با ایده‌هایی نو و فلسفی باشد.
حسین مسگرانی مدیرکل فرهنگ و ارشاد اسلامی سیستان و بلوچستان با بیان این مطلب به خبرنگار شبستان گفت: نمایشگاه بزرگ کتاب با حضور صالحی معاون فرهنگی وزارت فرهنگ و ارشاد اسلامی، فردا در زاهدان گشایش می‌یابد.,حسین مسگرانی مدیرکل فرهنگ و ارشاد اسلامی سیستان و بلوچستان با بیان این مطلب به خبرنگار شبستان گفت: نمایشگاه بزرگ کتاب با حضور صالحی معاون فرهنگی وزارت فرهنگ و ارشاد اسلامی، فردا در زاهدان باز می‌شود.,حسین مسگرانی مدیرکل فرهنگ و ارشاد اسلامی سیستان و بلوچستان با بیان این مطلب به خبرنگار شبستان گفت: نمایشگاه بزرگ کتاب با حضور صالحی معاون فرهنگی وزارت فرهنگ و ارشاد اسلامی، فردا در زاهدان شروع می‌شود.
در سال ۱۹۳۰ به تشخیص اسقف اعظم وقت خلیفه‌گری سنندج، مار یوحنا نیسان به عنوان خادم مسیح برگزیده شد و سپس جهت تحصیل در رشته الهیات به شهر موصل در عراق فرستاده شد تا دوره‌های لازمه را طی نماید.,در سال ۱۹۳۰ به تشخیص اسقف بزرگ آن زمان خلیفه‌گری سنندج، مار یوحنا نیسان به عنوان خادم مسیح برگزیده شد و سپس جهت تحصیل در رشته الهیات به شهر موصل در عراق فرستاده شد تا دوره‌های لازمه را طی نماید.,در سال ۱۹۳۰ به تشخیص اسقف اعظم وقت خلیفه‌گری سنندج، مار یوحنا نیسان به عنوان خادم مسیح برگزیده شد و بعد برای تحصیل در رشته الهیات به شهر موصل در عراق فرستاده شد تا دوره‌های لازمه را طی نماید.
در سال‌های اخیر که دولت افغانستان سعی کرده این منطقه را به گردشگران خارجی بشناساند بین ۱۰۰ تا ۳۰۰ گردشگر در سال از آن بازدید می‌کنند اما حکومت افغانستان با ایجاد پارک ملی در واخان امیدوار است که توجه سیاحان و علاقمندان بیشتری را به منطقه جلب کند.,در سال‌های اخیر که دولت افغانستان سعی کرده این منطقه را به گردشگران خارجی بشناساند بین ۱۰۰ تا ۳۰۰ گردشگر در سال از آن بازدید می‌کنند اما حکومت افغانستان با ایجاد پارک ملی در واخان امیدوار است که توجه گردشگران و علاقمندان بیشتری را به منطقه جلب کند.,در سال‌های اخیر که دولت افغانستان سعی کرده این منطقه را به گردشگران خارجی بشناساند بین ۱۰۰ تا ۳۰۰ گردشگر در سال از آن دیدن می‌کنند اما حکومت افغانستان با ایجاد پارک ملی در واخان امیدوار است که توجه گردشگران و علاقمندان بیشتری را به منطقه جلب کند.
البته باید یاداور شد که برای آن‌که ساختمانی پایدار باشد ضرورتی ندارد که در محیط پیرامون مخلوط و همرنگ گردد.,البته باید یاداور شد که برای آن‌که ساختمانی مقاوم باشد ضرورتی ندارد که در محیط پیرامون مخلوط و همرنگ گردد.,البته باید یاداور شد که برای آن‌که ساختمانی پایدار باشد نیازی نیست که در محیط اطراف مخلوط و یکرنگ گردد.
نصیریان در ادامه حتی مخالفتش را با دیدن راش تصاویر فیلمبرداری‌شده اعلام می‌کند.,نصیریان در ادامه حتی مخالفتش را با دیدن راش تصاویر فیلمبرداری‌شده اعلام می‌کند.,نصیریان در ادامه حتی مخالفتش را با دیدن راش تصاویر فیلمبرداری‌شده اعلام می‌کند.
از وی اشعاری عرفانی معنوی به سبک عراقی و مدایح و مراثی اهل‌بیت بجا مانده‌است:  سال‌ها در بحر فکرت غوطه‌ور گشتم که گشت طوطی طبعم به گلزار معانی نغمه‌زن مدح و ذم کس نگفتم هیچ‌گه در عمر خویش کوس استغنا زدم بر خلق در سر و علن,از وی اشعاری عرفانی معنوی به سبک عراقی و سرودها و اشعار اهل‌بیت بجا مانده‌است:  سال‌ها در دریای فکر بودم که گشت طوطی طبعم به گلزار معانی نغمه‌زن مدح و ذم کس نگفتم هیچ‌گه در عمر خویش کوس استغنا زدم بر خلق در سر و علن,از وی اشعاری عرفانی معنوی به سبک عراقی و مداحی‌ها و مرثیه‌های اهل‌بیت بجا مانده‌است:  سال‌ها در بحر فکرت غوطه‌ور گشتم که گشت طوطی طبعم به گلزار معانی نغمه‌زن مدح و ذم کس نگفتم هیچ‌گه در عمر خویش کوس استغنا زدم بر خلق در سر و علن
واقعیت این است که تمام این سبزیجات حاوی سولانین است که میزان بالای آن به عنوان یک آلکالوئید سمی شناخته می‌شود.,واقعیت این است که تمام این سبزیجات حاوی سولانین است که میزان بالای آن به عنوان یک آلکالوئید سمی شناخته می‌شود.,واقعیت این است که تمام این سبزیجات حاوی سولانین است که مقدار بالای آن به عنوان یک آلکالوئید سمی شناخته می‌شود.
لوبیا سبز حاوی فیبرهایی است که قلبتان را نجات می‌دهد فیبر‌های حلال موجود در لوبیا سبز باعث می‌شود که میزان کلسترول بد خون  کاهش یابد.,لوبیا سبز حاوی فیبرهایی است که قلبتان را نجات می‌دهد فیبر‌های حلال موجود در لوبیا سبز باعث می‌شود که میزان کلسترول بد خون  کاهش یابد.,لوبیا سبز حاوی فیبرهایی است که قلبتان را نجات می‌دهد فیبر‌های حلال موجود در لوبیا سبز باعث می‌شود که میزان کلسترول بد خون  کم شود.
